,Date,User,Tweet
42,2023-04-10 05:59:01+00:00,SeputariNews,"Akibat bahan bakar minyak tercecer di jalan raya, sejumlah pengendara sepeda motor jatuh di jalan raya imam bonjol, Cikarang Barat, Bekasi. RYN 

#SeputariNewsRCTI #News #BBM #Cikarang https://t.co/qCMsoioOgo"
43,2023-04-10 04:40:16+00:00,polseksakoyaho2,"Kehabisan Bensin di Jalan Tol?
Jangan Khawatir!

Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! Eitss.. 
https://t.co/wLy4EuLtnv"
44,2023-04-10 03:01:38+00:00,SurWibowo,"@CNNIndonesia Bahan bakar dan minyak goreng naik harga  ora sedih,"
45,2023-04-10 00:35:34+00:00,Bambang62493888,"Kehabisan Bensin di Jalan Tol?
Jangan Khawatir!
Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol.
#humaspoldasumsel
#ditpolairudpoldasumsel
#humaspolri 
@polisi_indonesia
@korpolairud
@polisi_sumsel https://t.co/Mnh1TsgiZl"
46,2023-04-09 21:45:16+00:00,porterrekayasa,"Fuel Tank 25.000 Liters Capacity on Volvo FMX 440 6x6. Fungsi Fuel Truck ini adalah untuk membawa bahan bakar minyak jenis bio solar guna mencukupi bahan bakar semua unit-unit tambang. Tugasnya adalah mengambil bahan bakar minyak jenis bio solar.

#porterrekayasaunggul https://t.co/SfEZ7SVOOU"
47,2023-04-09 14:42:40+00:00,PolsekTerara,"Kehabisan Bensin di Jalan Tol?
Jangan Khawatir!

Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu. https://t.co/BtWxLpahmL"
48,2023-04-09 14:31:39+00:00,Polsek_AirBesi,Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! Eitss.. tapi tetap perhatikan ketersediaan bahan bakarmu sebelum mudik Lebaran 2023 ya. https://t.co/rnSu9yA7iE
49,2023-04-09 13:31:09+00:00,BrownNovita,"@AZaitunnah Apa ya Bbm,,,? Bahan bakar minyak"
50,2023-04-09 10:40:34+00:00,indomediaco,"Stok Jenis Bahan Bakar Minyak Tertentu (JBT) Bio Solar subsidi di Kabupaten Serdang Bedagai (Sergai), Sumatera Utara (Sumut) dipastikan dalam kondisi aman.
https://t.co/BByq0btK5J"
51,2023-04-09 09:59:34+00:00,Gadisbaw3l2,"News Update

Muncul dugaan Endar disingkirkan dari KPK krn Endar getol mengusut dugaan korupsi di sektor energi atau sektor yg cakupannya meliputi bahan bakar minyak (BBM) &amp; hasil tambang lainnya.

Ooo jadi bongkar² kasus maksdnya 🤭 https://t.co/LSnGa3KEf7"
